dia_ocu,mes_ocu,año_ocu,hora_ocu,depto_ocu,mupio_ocu,tipo_veh,color_veh,modelo_veh,tipo_accidente,marca_veh
19.0,1.0,2013,22.0,7.0,706.0,3.0,5.0,9999.0,2.0,44.0
20.0,1.0,2013,23.0,1.0,101.0,1.0,1.0,2007.0,1.0,34.0
20.0,1.0,2013,0.0,1.0,101.0,4.0,1.0,9999.0,2.0,2.0
20.0,1.0,2013,2.0,1.0,101.0,4.0,99.0,9999.0,3.0,99.0
20.0,1.0,2013,2.0,1.0,101.0,1.0,1.0,1995.0,1.0,46.0
20.0,1.0,2013,2.0,1.0,101.0,1.0,99.0,2000.0,2.0,32.0
20.0,1.0,2013,2.0,1.0,115.0,2.0,99.0,9999.0,1.0,99.0
20.0,1.0,2013,3.0,1.0,116.0,1.0,2.0,9999.0,1.0,44.0
20.0,1.0,2013,6.0,22.0,2217.0,14.0,1.0,2005.0,3.0,99.0
20.0,1.0,2013,16.0,22.0,2212.0,3.0,5.0,1989.0,3.0,44.0
20.0,1.0,2013,11.0,20.0,2007.0,1.0,4.0,2005.0,1.0,32.0
20.0,1.0,2013,2.0,5.0,511.0,1.0,8.0,1989.0,1.0,99.0
20.0,1.0,2013,7.0,5.0,509.0,4.0,99.0,9999.0,2.0,99.0
20.0,1.0,2013,0.0,9.0,904.0,3.0,1.0,9999.0,1.0,44.0
20.0,1.0,2013,14.0,4.0,416.0,3.0,4.0,9999.0,1.0,44.0
21.0,1.0,2013,0.0,1.0,101.0,1.0,1.0,9999.0,2.0,34.0
21.0,1.0,2013,16.0,1.0,101.0,4.0,5.0,9999.0,2.0,42.0
21.0,1.0,2013,12.0,11.0,1103.0,3.0,5.0,1989.0,1.0,44.0
21.0,1.0,2013,16.0,12.0,1201.0,3.0,3.0,1994.0,2.0,44.0
21.0,1.0,2013,19.0,8.0,805.0,6.0,2.0,9999.0,1.0,15.0
21.0,1.0,2013,12.0,3.0,301.0,3.0,5.0,9999.0,3.0,44.0
22.0,1.0,2013,16.0,22.0,2214.0,1.0,5.0,2001.0,1.0,46.0
22.0,1.0,2013,10.0,10.0,1014.0,5.0,1.0,1996.0,1.0,15.0
22.0,1.0,2013,17.0,4.0,406.0,3.0,1.0,1988.0,1.0,44.0
23.0,1.0,2013,12.0,1.0,101.0,99.0,2.0,2002.0,2.0,30.0
23.0,1.0,2013,17.0,1.0,101.0,5.0,2.0,1999.0,1.0,22.0
23.0,1.0,2013,21.0,1.0,101.0,1.0,4.0,1995.0,1.0,37.0
23.0,1.0,2013,16.0,1.0,108.0,4.0,1.0,9999.0,1.0,21.0
23.0,1.0,2013,18.0,12.0,1209.0,3.0,99.0,9999.0,3.0,99.0
23.0,1.0,2013,18.0,13.0,1301.0,1.0,9.0,1992.0,1.0,44.0
23.0,1.0,2013,0.0,13.0,1301.0,1.0,99.0,9999.0,1.0,99.0
23.0,1.0,2013,20.0,15.0,1501.0,5.0,2.0,1995.0,1.0,23.0
23.0,1.0,2013,20.0,17.0,1709.0,3.0,4.0,9999.0,1.0,32.0
23.0,1.0,2013,14.0,4.0,407.0,9.0,6.0,2001.0,1.0,44.0
23.0,1.0,2013,14.0,3.0,312.0,6.0,6.0,9999.0,1.0,15.0
24.0,1.0,2013,8.0,1.0,101.0,4.0,2.0,2011.0,1.0,21.0
24.0,1.0,2013,17.0,1.0,101.0,1.0,2.0,1970.0,1.0,9.0
24.0,1.0,2013,16.0,1.0,101.0,4.0,5.0,2009.0,1.0,99.0
24.0,1.0,2013,21.0,1.0,108.0,1.0,2.0,2013.0,1.0,42.0
24.0,1.0,2013,12.0,22.0,2212.0,2.0,11.0,1984.0,1.0,26.0
24.0,1.0,2013,22.0,21.0,2101.0,3.0,99.0,9999.0,3.0,44.0
24.0,1.0,2013,0.0,19.0,1901.0,4.0,99.0,9999.0,3.0,99.0
24.0,1.0,2013,5.0,6.0,613.0,6.0,2.0,9999.0,3.0,22.0
